Sygnatura czasowa,Czy studiujesz na Wydziale Zarządzania UŁ?,Do eksperymentu trzeba przygotować aparaturę. Czy potrafisz włączyć tryb prywatny (incognito) w swojej przeglądarce internetowej?,Czy udało Ci się włączyć tryb prywatny?,1. na Twojej liście wyszukiwania (wklej pełny adres),2. na Twojej liście wyszukiwania (wklej pełny adres),3. na Twojej liście wyszukiwania (wklej pełny adres),4. na Twojej liście wyszukiwania (wklej pełny adres),5. na Twojej liście wyszukiwania (wklej pełny adres),1. na Twojej liście wyszukiwania (wklej pełny adres)_1,2. na Twojej liście wyszukiwania (wklej pełny adres)_1,3. na Twojej liście wyszukiwania (wklej pełny adres)_1,4. na Twojej liście wyszukiwania (wklej pełny adres)_1,5. na Twojej liście wyszukiwania (wklej pełny adres)_1,Przerywanie ciąży:,Konkordat:,Związki osób tej samej płci:,Rodzaj studiów,Twój rok urodzenia,Twoja płeć,"Jeżeli chcesz coś dodać, o coś nas zapytać lub masz uwagi - wpisz je poniżej:","Prywatność konsumentów w Internecie to tak naprawdę kwestia prawa konsumentów. Prawa do kontroli i autonomii co do tego, jak są gromadzone, wykorzystywane i udostępniane informacje o konsumentach.",Kontrola konsumentów nad ich danymi osobowymi to podstawa prywatności konsumentów.,"Uważam, że prywatność konsumentów online nie zostaje naruszona, kiedy w wyniku zawarcia transakcji kontrola konsumentów zostanie utracona, lub zmniejszona wbrew ich woli",id
2019-05-16T21:05:33Z,Tak,Tak,NA,https://pl.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,https://www.facebook.com/Pawel.Adamowicz/,https://www.youtube.com/channel/UC2NkYSiMMmX4uwWelr1HS_w,https://twitter.com/adamowiczpawel,http://adamowicz.pl/,https://pl.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,https://www.facebook.com/Pawel.Adamowicz/,https://www.youtube.com/channel/UC2NkYSiMMmX4uwWelr1HS_w,https://twitter.com/adamowiczpawel,http://adamowicz.pl/,2,7,4,Licencjackie,1998,Mężczyzna,Niektóre pytania w sekcji wyboru w skali 1-10 były niezrozumiałe/zagmatwane.,4,5,4,causeless_weaverbird
2019-05-17T23:14:13Z,Tak,Tak,NA,https://pl.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,https://www.facebook.com/Pawel.Adamowicz/,https://www.youtube.com/channel/UC2NkYSiMMmX4uwWelr1HS_w,"http://wiadomosci.gazeta.pl/wiadomosci/0,114916.html?tag=pawe%B3+adamowicz",https://twitter.com/adamowiczpawel,https://pl.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,https://www.facebook.com/Pawel.Adamowicz/,https://www.youtube.com/channel/UC2NkYSiMMmX4uwWelr1HS_w,"http://wiadomosci.gazeta.pl/wiadomosci/0,114916.html?tag=pawe%B3+adamowicz",https://twitter.com/adamowiczpawel,5,7,1,Magisterskie,1995,Kobieta,NA,7,7,1,fur_guineapig
2019-05-22T11:48:47Z,Tak,Tak,NA,https://pl.m.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,https://m.facebook.com/Pawel.Adamowicz/,https://wiadomosci.wp.pl/pawel-adamowicz-6249970898101889c,"http://wiadomosci.gazeta.pl/wiadomosci/0,114916.html?tag=pawe%B3+adamowicz",http://adamowicz.pl/,https://m.facebook.com/Pawel.Adamowicz/,https://pl.m.wikipedia.org/wiki/Paweł_Adamowicz,http://adamowicz.pl,https://m.youtube.com/channel/UC2NkYSiMMmX4uwWelr1HS_w,https://wiadomosci.wp.pl/pawel-adamowicz-6249970898101889c,2,5,2,Licencjackie,1997,Kobieta,NA,3,7,1,wheat_southernhairnosedwombat
2019-05-22T11:49:45Z,Tak,Tak,NA,https://m.facebook.com/Pawel.Adamowicz/,https://pl.m.wikipedia.org/wiki/Paweł_Adamowicz,http://adamowicz.pl,"http://wiadomosci.gazeta.pl/wiadomosci/0,114916.html?tag=pawe%B3+adamowicz",https://m.trojmiasto.pl/wiadomosci/Pawel-Adamowicz-o1.html,https://pl.m.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,https://m.facebook.com/Pawel.Adamowicz/,http://adamowicz.pl/,https://www.wprost.pl/tematy/10149225/pawel-adamowicz.html,"http://wiadomosci.gazeta.pl/wiadomosci/0,114916.html?tag=pawe%B3+adamowicz",3,7,1,Licencjackie,1996,Mężczyzna,NA,6,7,2,wrapped_noolbenger
2019-05-22T11:50:48Z,Tak,Tak,NA,https://www.google.com/url?sa=t&source=web&rct=j&url=https://m.facebook.com/Pawel.Adamowicz/&ved=2ahUKEwicit_67K7iAhVC8aYKHaepDzcQjjgwDnoECAQQAQ&usg=AOvVaw3Y44_PuPgBz_r0ATmDsAId,https://www.google.com/url?sa=t&source=web&rct=j&url=https://pl.m.wikipedia.org/wiki/Pawe%25C5%2582_Adamowicz&ved=2ahUKEwicit_67K7iAhVC8aYKHaepDzcQFjAPegQIAxAB&usg=AOvVaw14WCiU273zcC52_ZdB2Xmu,https://www.google.com/url?sa=t&source=web&rct=j&url=https://mobile.twitter.com/adamowiczpawel&ved=2ahUKEwicit_67K7iAhVC8aYKHaepDzcQjjgwEHoECAoQAQ&usg=AOvVaw3VTg8iV00lV2M57LbAu7D1,https://www.google.com/url?sa=t&source=web&rct=j&url=https://m.youtube.com/channel/UC2NkYSiMMmX4uwWelr1HS_w&ved=2ahUKEwicit_67K7iAhVC8aYKHaepDzcQjjgwEXoECAUQAQ&usg=AOvVaw3IfdM9m66D6A8XbiuyRnTY,https://www.google.com/url?sa=t&source=web&rct=j&url=http://adamowicz.pl/&ved=2ahUKEwicit_67K7iAhVC8aYKHaepDzcQFjASegQICRAB&usg=AOvVaw262g4sGRqk11hBSilVk_Zi,https://www.google.com/url?sa=t&source=web&rct=j&url=https://m.facebook.com/Pawel.Adamowicz/&ved=2ahUKEwiy2YOz7K7iAhUxxKYKHbziAHAQFjAOegQIARAB&usg=AOvVaw3Y44_PuPgBz_r0ATmDsAId,https://www.google.com/url?sa=t&source=web&rct=j&url=https://pl.m.wikipedia.org/wiki/Pawe%25C5%2582_Adamowicz&ved=2ahUKEwiy2YOz7K7iAhUxxKYKHbziAHAQFjAPegQIAxAB&usg=AOvVaw14WCiU273zcC52_ZdB2Xmu,Paweł Adamowicz – Prezydent Gdańska Paweł Adamowicz adamowicz.pl,https://www.google.com/url?sa=t&source=web&rct=j&url=http://adamowicz.pl/&ved=2ahUKEwiy2YOz7K7iAhUxxKYKHbziAHAQFjAQegQIAhAB&usg=AOvVaw262g4sGRqk11hBSilVk_Zi,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.wprost.pl/tematy/10149225/pawel-adamowicz.html&ved=2ahUKEwiy2YOz7K7iAhUxxKYKHbziAHAQFjARegQICBAB&usg=AOvVaw20c_vHI1_sQea8Aiq1ti3x,4,5,1,Licencjackie,1998,Mężczyzna,NA,7,7,1,wearying_urchin
2019-05-22T11:51:16Z,Tak,Nie,Tak,https://www.facebook.com/Pawel.Adamowicz/,https://pl.m.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,http://adamowicz.pl/,https://m.youtube.com/channel/UC2NkYSiMMmX4uwWelr1HS_w,https://wiadomosci.wp.pl/pawel-adamowicz-6249970898101889c,https://m.facebook.com/Pawel.Adamowicz/,https://pl.m.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,http://adamowicz.pl/,https://m.youtube.com/channel/UC2NkYSiMMmX4uwWelr1HS_w,https://wiadomosci.wp.pl/pawel-adamowicz-6249970898101889c,1,7,1,Licencjackie,1998,Kobieta,NA,3,2,1,bluecoated_caimanlizard
2019-05-22T11:53:28Z,Tak,Tak,NA,"https://www.google.com/amp/s/natemat.pl/amp/273357,olejnik-zapytala-w-kropce-nad-i-adamowicz-o-przyjazn-z-glodziem-i-majatek","http://gdansk.naszemiasto.pl/artykul/skwer-imienia-pawla-adamowicza-we-wroclawiu-bialystok-chce,5132305,art,t,id,tm.html",https://poranny.pl/pawel-adamowicz-honorowym-obywatelem-bialegostoku-co-mysla-o-tym-mieszkancy-sonda-wideo/ar/c1-14145505,https://www.facebook.com/Pawel.Adamowicz/,https://pl.m.wikipedia.org/wiki/Paweł_Adamowicz,https://bialystok.onet.pl/pawel-adamowicz-uhonorowany-posmiertnie-w-bialymstoku/6pe9632,https://www.bstok.pl/pawel-adamowicz-uhonorowany/,https://poranny.pl/pawel-adamowicz-honorowym-obywatelem-bialegostoku-co-mysla-o-tym-mieszkancy-sonda-wideo/ar/c1-14145505,https://pl.m.wikipedia.org/wiki/Paweł_Adamowicz,https://m.facebook.com/Pawel.Adamowicz/,1,4,1,Licencjackie,1998,Kobieta,NA,5,6,2,lace_tortoise
2019-05-22T11:53:29Z,Tak,Tak,NA,"https://www.google.com/url?sa=t&source=web&rct=j&url=https://natemat.pl/amp/273357,olejnik-zapytala-w-kropce-nad-i-adamowicz-o-przyjazn-z-glodziem-i-majatek&ved=2ahUKEwjW8e6Z7a7iAhWc7KYKHZBFD_IQyM8BMAt6BAgHEAQ&usg=AOvVaw1TQD9aCF2Rl9XGwYFKI5D6&ampcf=1","http://gdansk.naszemiasto.pl/artykul/skwer-imienia-pawla-adamowicza-we-wroclawiu-bialystok-chce,5132305,art,t,id,tm.html",https://poranny.pl/pawel-adamowicz-honorowym-obywatelem-bialegostoku-co-mysla-o-tym-mieszkancy-sonda-wideo/ar/c1-14145505,https://www.google.com/url?sa=t&source=web&rct=j&url=https://m.facebook.com/Pawel.Adamowicz/&ved=2ahUKEwjW8e6Z7a7iAhWc7KYKHZBFD_IQjjgwDnoECAUQAQ&usg=AOvVaw3Y44_PuPgBz_r0ATmDsAId&cshid=1558518449126,https://pl.m.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,"https://www.google.com/amp/s/natemat.pl/amp/273357,olejnik-zapytala-w-kropce-nad-i-adamowicz-o-przyjazn-z-glodziem-i-majatek","http://gdansk.naszemiasto.pl/artykul/skwer-imienia-pawla-adamowicza-we-wroclawiu-bialystok-chce,5132305,art,t,id,tm.html",https://poranny.pl/pawel-adamowicz-honorowym-obywatelem-bialegostoku-co-mysla-o-tym-mieszkancy-sonda-wideo/ar/c1-14145505,https://m.facebook.com/Pawel.Adamowicz/,https://pl.m.wikipedia.org/wiki/Paweł_Adamowicz,5,6,1,Licencjackie,1997,Kobieta,NA,4,7,4,sandpapery_lionfish
2019-05-22T11:54:39Z,Tak,Tak,NA,https://m.facebook.com/Pawel.Adamowicz/,https://pl.m.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,http://adamowicz.pl/,https://m.youtube.com/channel/UC2NkYSiMMmX4uwWelr1HS_w,https://wiadomosci.wp.pl/pawel-adamowicz-6249970898101889c,https://pl.m.wikipedia.org/wiki/Paweł_Adamowicz,https://m.facebook.com/Pawel.Adamowicz/,http://adamowicz.pl,https://www.wprost.pl/tematy/10149225/pawel-adamowicz.html,https://m.youtube.com/channel/UC2NkYSiMMmX4uwWelr1HS_w,1,5,1,Licencjackie,1995,Kobieta,NA,7,7,1,psychopathological_skimmer
2019-05-22T11:55:23Z,Tak,Tak,NA,https://bialystok.onet.pl/pawel-adamowicz-uhonorowany-posmiertnie-w-bialymstoku/6pe9632,https://www.bstok.pl/pawel-adamowicz-uhonorowany/,https://poranny.pl/pawel-adamowicz-honorowym-obywatelem-bialegostoku-co-mysla-o-tym-mieszkancy-sonda-wideo/ar/c1-14145505,https://pl.m.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,https://m.facebook.com/Pawel.Adamowicz/,https://www.bstok.pl/pawel-adamowicz-uhonorowany/,https://wpolityce.pl/m/polityka/447349-pawel-adamowicz-honorowym-obywatelem-bialegostoku,https://bialystok.onet.pl/pawel-adamowicz-uhonorowany-posmiertnie-w-bialymstoku/6pe9632,https://pl.m.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,https://m.facebook.com/Pawel.Adamowicz/,2,5,2,Licencjackie,1999,Kobieta,NA,4,2,1,aberrational_arthropods
2019-05-22T11:56:57Z,Tak,Tak,NA,https://m.facebook.com/Pawel.Adamowicz/,https://pl.m.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,http://adamowicz.pl/,https://mobile.twitter.com/adamowiczpawel,https://www.trojmiasto.pl/wiadomosci/Pawel-Adamowicz-o1.html,https://m.facebook.com/Pawel.Adamowicz/,https://pl.m.wikipedia.org/wiki/Paweł_Adamowicz,https://mobile.twitter.com/adamowiczpawel,http://adamowicz.pl,https://www.wprost.pl/tematy/10149225/pawel-adamowicz.html,2,7,1,Licencjackie,1998,Mężczyzna,NA,7,7,1,overaggressive_snail
2019-05-22T11:59:58Z,Tak,Tak,NA,https://pl.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,https://www.facebook.com/Pawel.Adamowicz/,https://twitter.com/adamowiczpawel,http://adamowicz.pl/,https://www.wprost.pl/tematy/10149225/pawel-adamowicz.html,https://pl.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,https://www.facebook.com/Pawel.Adamowicz/,https://twitter.com/adamowiczpawel,http://adamowicz.pl/,https://www.wprost.pl/tematy/10149225/pawel-adamowicz.html,7,1,7,Licencjackie,1996,Mężczyzna,NA,7,6,4,poor_buckeyebutterfly
2019-05-22T12:05:53Z,Tak,Tak,NA,Paweł Adamowicz Home Facebook,https://pl.m.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,Paweł Adamowicz YouTube,http://adamowicz.pl/,https://wiadomosci.wp.pl/pawel-adamowicz-6249970898101889c,https://pl.m.wikipedia.org/wiki/Paweł_Adamowicz,https://m.facebook.com/Pawel.Adamowicz/,http://adamowicz.pl,https://www.wprost.pl/tematy/10149225/pawel-adamowicz.html,https://m.youtube.com/channel/UC2NkYSiMMmX4uwWelr1HS_w,6,6,2,Licencjackie,1996,Mężczyzna,NA,5,5,7,nonscientific_carp
2019-05-22T19:12:14Z,Tak,Tak,NA,https://pl.wikipedia.org/wiki/Paweł_Adamowicz,https://www.facebook.com/Pawel.Adamowicz/,https://www.wprost.pl/tematy/10149225/pawel-adamowicz.html,http://adamowicz.pl/,https://twitter.com/adamowiczpawel,https://pl.wikipedia.org/wiki/Paweł_Adamowicz,https://www.facebook.com/Pawel.Adamowicz/,http://adamowicz.pl/,https://www.wprost.pl/tematy/10149225/pawel-adamowicz.html,https://twitter.com/adamowiczpawel,2,6,1,Magisterskie,1996,Kobieta,NA,7,5,4,venustraphobic_kingbird
